流转类型,运输方式,来源单元,到达单元,物质名称,物质品类,物质量,日运输量,重车起点,重车终点,空车起点,空车终点
铁前,胶带,原料场,450烧结,铁矿粉,原料,554.15,1.5182191780821916,3,8,8,3
铁前,公路,450烧结,炼铁1-4,烧结矿,主料,482.95,1.323150684931507,8,9,9,8
铁前,胶带,原料场,炼焦厂_1,洗精煤,燃料,347.4,0.9517808219178081,3,31,31,3
铁钢,公路,炼铁1-4,新炼钢,铁水,主料,320.0,0.8767123287671232,9,32,32,9
铁钢,公路,炼铁5,老炼钢,铁水,主料,300.0,0.821917808219178,48,43,43,48
铁前,公路,450烧结,炼铁5,烧结矿,主料,209.75,0.5746575342465754,8,48,48,8
铁前,公路,265+400烧结厂,炼铁5,烧结矿,主料,209.75,0.5746575342465754,26,48,48,26
铁前,胶带,原料场,265+400烧结厂,铁矿粉,原料,167.8,0.4597260273972603,3,26,26,3
铁前,胶带,原料场,球团厂,铁矿粉,原料,162.11,0.4441369863013699,3,23,23,3
钢扎,公路,老炼钢,二棒,钢坯,粗钢,140.56,0.38509589041095893,43,40,40,43
铁前,公路,炼焦厂_1,炼铁1-4,焦炭,主产品,139.79,0.382986301369863,31,9,9,31
铁前,公路,炼焦厂_1,炼铁5,焦炭,主产品,121.42,0.33265753424657535,31,48,48,31
钢扎,公路,新炼钢,高线,钢坯,粗钢,119.54,0.3275068493150685,32,42,42,32
铁前,公路,原料场,石灰厂,石灰石,熔剂,117.86,0.3229041095890411,3,15,15,3
铁前,公路,球团厂,炼铁1-4,球团矿,主料,87.81,0.24057534246575343,23,9,9,23
铁前,公路,球团厂,炼铁5,球团矿,主料,76.27,0.20895890410958903,23,48,48,23
铁前,公路,炼铁1-4,450烧结,烧结返矿,主料,72.16,0.1976986301369863,9,8,8,9
钢扎,公路,新炼钢,窄带,钢坯,粗钢,65.47,0.17936986301369862,32,58,58,32
钢扎,公路,老炼钢,三棒,钢坯,粗钢,58.8,0.1610958904109589,43,45,45,43
铁前,胶带,原料场,炼铁1-4,块矿,原料,56.45,0.15465753424657536,3,9,9,3
铁前,胶带,原料场,炼铁1-4,喷吹煤粉,燃料,55.18,0.15117808219178083,3,9,9,3
铁前,胶带,原料场,炼铁5,块矿,原料,49.03,0.13432876712328767,3,48,48,3
铁前,胶带,原料场,炼铁5,喷吹煤粉,燃料,47.93,0.1313150684931507,3,48,48,3
回收,公路,废钢堆场,新炼钢,废钢,自产物质,43.2,0.11835616438356165,46,32,32,46
铁前,胶带,原料场,450烧结,无烟煤,原料,34.63,0.09487671232876713,3,8,8,3
铁前,公路,石灰厂,450烧结,生石灰,主产品,31.85,0.08726027397260275,15,8,8,15
铁前,公路,炼铁5,265+400烧结厂,烧结返矿,主料,31.34,0.08586301369863014,48,26,26,48
铁前,公路,炼铁5,450烧结,烧结返矿,主料,31.34,0.08586301369863014,48,8,8,48
回收,公路,废钢堆场,老炼钢,废钢,自产物质,29.44,0.08065753424657535,46,43,43,46
铁前,公路,原料场,450烧结,白云石,熔剂,29.3,0.08027397260273973,3,8,8,3
钢扎,公路,新炼钢,三棒,钢坯,粗钢,26.36,0.07221917808219178,32,45,45,32
回收,公路,炼铁1-4,原料场,高炉除尘灰,其他副产品,22.48,0.06158904109589041,9,3,3,9
铁前,公路,原料场,石灰厂,白云石,熔剂,19.67,0.053890410958904116,3,15,15,3
回收,公路,炼铁5,原料场,高炉除尘灰,其他副产品,19.52,0.05347945205479452,48,3,3,48
回收,公路,炼铁1-4,原料场,返焦,其他副产品,19.06,0.05221917808219178,9,3,3,9
回收,公路,炼铁1-4,原料场,块矿返矿,其他副产品,18.82,0.05156164383561644,9,3,3,9
铁前,公路,原料场,炼铁1-4,萤石,熔剂,18.39,0.05038356164383562,3,9,9,3
铁前,公路,原料场,炼铁1-4,石灰石,熔剂,18.39,0.05038356164383562,3,9,9,3
铁前,公路,原料场,炼铁1-4,锰矿,熔剂,18.39,0.05038356164383562,3,9,9,3
铁前,公路,原料场,炼铁1-4,硅石,熔剂,18.39,0.05038356164383562,3,9,9,3
铁前,公路,原料场,炼铁1-4,白云石,熔剂,18.39,0.05038356164383562,3,9,9,3
回收,公路,炼铁5,原料场,返焦,其他副产品,16.56,0.04536986301369863,48,3,3,48
回收,公路,炼铁5,原料场,块矿返矿,其他副产品,16.34,0.04476712328767123,48,3,3,48
铁前,公路,原料场,炼铁5,锰矿,熔剂,15.98,0.04378082191780822,3,48,48,3
铁前,公路,原料场,炼铁5,石灰石,熔剂,15.98,0.04378082191780822,3,48,48,3
铁前,公路,原料场,炼铁5,白云石,熔剂,15.98,0.04378082191780822,3,48,48,3
铁前,公路,原料场,炼铁5,萤石,熔剂,15.98,0.04378082191780822,3,48,48,3
铁前,公路,原料场,炼铁5,硅石,熔剂,15.98,0.04378082191780822,3,48,48,3
铁前,公路,原料场,450烧结,石灰石,熔剂,14.55,0.039863013698630136,3,8,8,3
仓配,公路,石灰厂,新炼钢,生石灰,主产品,14.26,0.03906849315068493,15,32,32,15
铁前,胶带,原料场,265+400烧结厂,无烟煤,原料,10.49,0.02873972602739726,3,26,26,3
仓配,公路,石灰厂,老炼钢,生石灰,主产品,9.72,0.026630136986301373,15,43,43,15
铁前,公路,石灰厂,265+400烧结厂,生石灰,主产品,9.64,0.02641095890410959,15,26,26,15
铁前,公路,原料场,265+400烧结厂,白云石,熔剂,8.87,0.024301369863013695,3,26,26,3
钢扎,公路,老炼钢,一棒,钢坯,粗钢,7.32,0.020054794520547946,43,31,31,43
回收,公路,新炼钢,原料场,炼钢集尘粉,其他副产品,6.79,0.018602739726027398,32,3,3,32
回收,公路,炼铁1-4,原料场,高炉集尘粉,其他副产品,5.15,0.014109589041095891,9,3,3,9
仓配,公路,原料场,新炼钢,白云石,熔剂,4.75,0.013013698630136987,3,32,32,3
仓配,公路,石灰厂,新炼钢,轻烧白云石,主产品,4.75,0.013013698630136987,15,32,32,15
回收,公路,老炼钢,原料场,炼钢集尘粉,其他副产品,4.63,0.012684931506849314,43,3,3,43
回收,公路,炼铁1-4,原料场,返球团,其他副产品,4.62,0.012657534246575343,9,3,3,9
回收,公路,新炼钢,原料场,OG泥,其他副产品,4.58,0.012547945205479452,32,3,3,32
回收,公路,炼铁5,原料场,高炉集尘粉,其他副产品,4.47,0.012246575342465753,48,3,3,48
铁前,公路,原料场,265+400烧结厂,石灰石,熔剂,4.4,0.012054794520547946,3,26,26,3
回收,公路,炼铁5,原料场,返球团,其他副产品,4.01,0.010986301369863014,48,3,3,48
仓配,公路,原料场,新炼钢,铁矿石,熔剂,3.33,0.009123287671232877,3,32,32,3
仓配,公路,石灰厂,老炼钢,轻烧白云石,主产品,3.24,0.008876712328767123,15,43,43,15
仓配,公路,原料场,老炼钢,白云石,熔剂,3.24,0.008876712328767123,3,43,43,3
回收,公路,老炼钢,原料场,OG泥,其他副产品,3.12,0.008547945205479452,43,3,3,43
回收,公路,新炼钢,废钢堆场,钢水罐铸余及事故钢水,废钢类,3.06,0.008383561643835616,32,46,46,32
铁前,胶带,原料场,球团厂,膨润土,原料,2.46,0.00673972602739726,3,23,23,3
仓配,公路,原料场,老炼钢,铁矿石,熔剂,2.27,0.006219178082191781,3,43,43,3
回收,公路,老炼钢,废钢堆场,钢水罐铸余及事故钢水,废钢类,2.08,0.005698630136986301,43,46,46,43
仓配,公路,原料场,新炼钢,压块OG泥,冶金辅料,1.66,0.0045479452054794514,3,32,32,3
回收,公路,新炼钢,废钢堆场,连铸切头切尾,废钢类,1.53,0.004191780821917808,32,46,46,32
仓配,公路,原料场,新炼钢,萤石,熔剂,1.32,0.0036164383561643836,3,32,32,3
仓配,公路,原料场,老炼钢,压块OG泥,冶金辅料,1.13,0.0030958904109589036,3,43,43,3
回收,公路,老炼钢,废钢堆场,连铸切头切尾,废钢类,1.04,0.0028493150684931507,43,46,46,43
仓配,公路,原料场,老炼钢,萤石,熔剂,0.9,0.002465753424657534,3,43,43,3
仓配,公路,原料场,新炼钢,钢包改质剂,冶金辅料,0.85,0.002328767123287671,3,32,32,3
仓配,公路,原料场,新炼钢,合成渣,冶金辅料,0.85,0.002328767123287671,3,32,32,3
回收,公路,新炼钢,废钢堆场,废连铸坯及试样,废钢类,0.85,0.002328767123287671,32,46,46,32
回收,公路,老炼钢,废钢堆场,废连铸坯及试样,废钢类,0.58,0.0015890410958904109,43,46,46,43
仓配,公路,原料场,老炼钢,钢包改质剂,冶金辅料,0.58,0.0015890410958904109,3,43,43,3
仓配,公路,原料场,老炼钢,合成渣,冶金辅料,0.58,0.0015890410958904109,3,43,43,3
回收,公路,新炼钢,废钢堆场,连铸废旧备件,废钢类,0.43,0.001178082191780822,32,46,46,32
回收,公路,老炼钢,废钢堆场,连铸废旧备件,废钢类,0.29,0.0007945205479452054,43,46,46,43
回收,公路,一棒,450烧结,轧钢皮,副产品,0.1,0.00027397260273972606,31,8,8,31
铁前,公路,炼铁5,450烧结,高炉炉尘,副产品,0.08,0.00021917808219178083,48,8,8,48
回收,公路,老炼钢,450烧结,转炉渣,副产品,0.08,0.00021917808219178083,43,8,8,43
铁前,胶带,原料场,炼铁1-4,焦粉,燃料,0.07,0.00019178082191780824,3,9,9,3
铁前,胶带,原料场,炼铁5,焦粉,燃料,0.06,0.00016438356164383562,3,48,48,3
回收,公路,老炼钢,265+400烧结厂,转炉渣,副产品,0.03,8.219178082191781e-05,43,26,26,43
回收,公路,一棒,265+400烧结厂,轧钢皮,副产品,0.03,8.219178082191781e-05,31,26,26,31
铁前,公路,炼铁5,265+400烧结厂,高炉炉尘,副产品,0.02,5.479452054794521e-05,48,26,26,48
